state,median_household_income,share_unemployed_seasonal,share_population_in_metro_areas,share_population_with_high_school_degree,share_non_citizen,share_white_poverty,gini_index,share_non_white,share_voters_voted_trump,hate_crimes_per_100k_splc,avg_hatecrimes_per_100k_fbi,income_rank,unemployed_rank,metro_rank,degree_rank,noncitizen_rank,poverty_rank,gini_rank,nonwhite_rank,vote_rank,hate_splc_rank,hate_fbi_rank
New York,54310,0.051,0.94,0.847,0.1,0.1,0.499,0.42,0.37,0.35062044600000003,3.1021642839999997,27.0,26.5,8.5,35.5,6.0,35.5,50.0,14.0,7.0,35.0,36.0
North Carolina,46784,0.057999999999999996,0.76,0.843,0.05,0.1,0.46399999999999997,0.38,0.51,0.244006588,1.262679796,41.0,39.5,28.5,37.0,22.5,35.5,35.0,16.5,28.5,25.0,12.0
North Dakota,60730,0.027999999999999997,0.5,0.9009999999999999,0.03,0.09,0.433,0.15,0.64,,4.741069885,13.0,1.0,47.0,11.0,37.0,26.0,9.0,44.5,48.0,,48.0
Ohio,49644,0.045,0.75,0.8759999999999999,0.03,0.1,0.452,0.21,0.52,0.19071396399999999,3.240420404,36.0,21.0,30.5,25.0,37.0,35.5,25.0,35.5,30.5,18.0,39.0
Oklahoma,47199,0.044000000000000004,0.59,0.856,0.04,0.1,0.45399999999999996,0.35,0.65,0.133629099,1.08167215,40.0,18.5,42.0,33.0,28.5,35.5,26.0,21.5,49.0,10.0,10.0
Oregon,58875,0.062,0.87,0.8909999999999999,0.07,0.1,0.449,0.26,0.41,0.832849608,3.394886113,17.0,45.0,16.5,18.0,15.5,35.5,22.0,29.5,12.5,46.0,41.0
Pennsylvania,55173,0.053,0.87,0.879,0.03,0.09,0.461,0.24,0.49,0.285101092,0.43092759,25.0,32.5,16.5,23.5,37.0,26.0,32.5,32.5,25.5,28.0,3.0
Rhode Island,58633,0.054000000000000006,1.0,0.847,0.08,0.08,0.467,0.28,0.4,0.095401641,1.282571834,18.0,34.5,2.0,35.5,12.0,17.0,39.0,26.0,10.5,4.0,13.0
South Carolina,44929,0.057,0.79,0.836,0.03,0.09,0.461,0.36,0.55,0.209894423,1.937082833,44.0,37.5,25.5,41.0,37.0,26.0,32.5,20.0,34.0,21.0,25.0
South Dakota,53053,0.035,0.51,0.899,,0.08,0.442,0.17,0.62,,3.301737127,31.0,5.0,46.0,12.0,,17.0,17.0,41.0,45.0,,40.0
Tennessee,43716,0.057,0.82,0.831,0.04,0.13,0.46799999999999997,0.27,0.61,0.19993848,3.13605115,46.0,37.5,21.0,42.0,28.5,48.0,41.0,27.5,44.0,20.0,37.0
Texas,53875,0.042,0.92,0.799,0.11,0.08,0.469,0.56,0.53,0.213583938,0.752768305,28.0,13.5,10.0,51.0,3.0,17.0,43.0,5.0,32.5,22.0,7.0
Utah,63383,0.036000000000000004,0.82,0.904,0.04,0.08,0.419,0.19,0.47,0.136546733,2.384065044,10.0,6.5,21.0,8.5,28.5,17.0,1.0,39.0,21.5,11.0,30.0
Vermont,60708,0.037000000000000005,0.35,0.91,0.01,0.1,0.444,0.06,0.33,0.324149109,1.90308139,14.0,8.0,49.0,6.0,47.0,35.5,19.0,51.0,3.5,31.0,23.0
Virginia,66155,0.043,0.89,0.866,0.06,0.07,0.45899999999999996,0.38,0.45,0.363248898,1.724754584,8.0,15.5,14.0,30.5,18.5,10.0,31.0,16.5,18.0,36.0,18.0
Washington,59068,0.052000000000000005,0.86,0.897,0.08,0.09,0.441,0.31,0.38,0.67748765,3.817740296,16.0,29.5,19.0,15.5,12.0,26.0,16.0,23.5,8.0,45.0,45.0
West Virginia,39552,0.073,0.55,0.828,0.01,0.14,0.451,0.07,0.69,0.328677075,2.037053631,50.0,51.0,44.0,43.5,47.0,49.5,23.5,50.0,50.0,33.0,26.0
Wisconsin,58080,0.043,0.69,0.898,0.03,0.09,0.43,0.22,0.48,0.226197105,1.121944651,19.0,15.5,34.0,13.5,37.0,26.0,6.0,34.0,23.5,24.0,11.0
Wyoming,55690,0.04,0.31,0.9179999999999999,0.02,0.09,0.423,0.15,0.7,,0.26694076,24.0,10.5,51.0,1.0,43.5,26.0,3.0,44.5,51.0,,1.0
